	music #	name	performer	price	venue
68	6	阿克江 x VISUDY 2021「HEART BEAT WAVEFORM」巡演 上海站	艺人：VISUDY/阿克江 LilAkin	价格：¥159起	[上海]上海 MODERNSKY LAB
69	23	The Sino Hearts 2021新专辑巡演 上海站	艺人：Round Eye/子路/THE SINO HEARTS	价格：¥80起	[上海]NEO Bar
70	23	新学校废物合唱团2021新专辑《与爱情无关》巡演 上海站	艺人：新学校废物合唱团	价格：¥100起	[上海]上海 MAO Livehouse
71	23	别管工作了，跟我一起逃走吧	艺人：秋日疾走/Sheep's Bed/失联盐分lost salt/AgainstAll对尖	价格：¥50起	[上海]NEO Bar
72	23	Diels-Alder 复建行动 上海站	艺人：飞行游戏/Diels-Alder/Fliphouse	价格：¥80起	[上海]育音堂（凯旋店）
73	23	Casino Demon【Here Comes Your Man(Deluxe) 】巡演  上海站	艺人：Casino Demon赌鬼乐队	价格：¥150起	[上海]上海 MODERNSKY LAB
74	23	2021 万圣节“向经典致敬”专场演出 Day 1 	艺人：Round Eye/明天的盐/Deku/Loose Booty/Trash Panda	价格：¥120起	[上海]育音堂音乐公园
75	23	2021 万圣节“向经典致敬”专场演出 Day 2	艺人：Round Eye/Spill Your Guts/Leather Jacket/Chimera Cult	价格：¥120起	[上海]育音堂音乐公园
76	23	毁灭！！野兽危险#2 敲击硬核室内音乐节	艺人：扩音器/skullcrusher碎颅者/反复攻击小明/Bob Blockhead Quartet/尼浊累/Chimera Cult/平头呆脑四重奏	价格：¥130起	[上海]育音堂（凯旋店）
77	23	脑浊乐队2021年“FxxK OFF 2020”冬季巡演 上海站	艺人：脑浊乐队/Round Eye	价格：¥100起	[上海]育音堂音乐公园
78	25	极昼 x 嵐境外 【核都之声】2021联合巡演-上海站	艺人：嵐境外MountainBrume/极昼White Night	价格：¥80	[上海]育音堂（凯旋店）
79	25	HYPER SLASH超级斩2021巡演 -【STAR ARENA TOUR 2021】上海站	艺人：HYPER SLASH超级斩	价格：¥150起	[上海]上海 MAO Livehouse
80	25	STILL YOUNG STILL BEAUTIFUL｜不复之血X好日子联合巡演	艺人：不复之血/What A Beautiful Day/Rampage Time猖獗一时	价格：¥100起	[上海]育音堂（凯旋店）
81	25	利事乐队2021巡演上海站	艺人：利事乐队	价格：¥100起	[上海]育音堂（凯旋店）
82	25	激战纪元	艺人：Chaos mind/Burns Inside乐队/Rampage Time猖獗一时/BLACK VE$PID黑蜂	价格：¥80起	[上海]育音堂（凯旋店）
83	25	2021 万圣节“向经典致敬”专场演出 Day 2	艺人：Round Eye/Spill Your Guts/Leather Jacket/Chimera Cult	价格：¥120起	[上海]育音堂音乐公园
84	25	毁灭！！野兽危险#2 敲击硬核室内音乐节	艺人：扩音器/skullcrusher碎颅者/反复攻击小明/Bob Blockhead Quartet/尼浊累/Chimera Cult/平头呆脑四重奏	价格：¥130起	[上海]育音堂（凯旋店）
85	26	康士坦的变化球《安静的美好》上海特别专场	艺人：康士坦的变化球	价格：¥200起	[上海]万代南梦宫上海文化中心 1F梦想剧场
86	26	BYE BYE POSTROCK! |Pentatonic乐队十周年现场 上海站	艺人：pentatonic/21Grams	价格：¥120起	[上海]万代南梦宫上海文化中心 2F未来剧场
87	26	【秀动呈献】Mary See the Future 先知玛莉 2021 《梅雨季》巡演 上海站	艺人：先知玛莉MarySeetheFuture	价格：¥130起	[上海]上海 MAO Livehouse
88	26	浪漫包邮：秋意黄昏 上海站	艺人：沉舟乐队/失联盐分lost salt/逃走鲍伯	价格：¥88起	[上海]育音堂音乐公园
89	26	WUO【无聊周末】上海站——结冰水，跳大海，霓虹之下，报警alarm	艺人：跳大海/报警alarm乐队/结冰水/霓虹之下UnderTheNeon	价格：¥120起	[上海]上海 MAO Livehouse
90	26	Urban Chilling Autumn 初秋温凉浪漫夜 上海站	艺人：Code-A/zc木蘭/海妖乐队/渡洛西汀Duloxetine	价格：¥140起	[上海]育音堂音乐公园
91	26	Sonicave【荒诞故事集】2021巡演 上海站	艺人：Sonicave	价格：¥80起	[上海]育音堂（凯旋店）
92	26	别管工作了，跟我一起逃走吧	艺人：秋日疾走/Sheep's Bed/失联盐分lost salt/AgainstAll对尖	价格：¥50起	[上海]NEO Bar
93	26	10.24 我很想认识你 | 迷幻世界乐队2021巡演第二轮 上海站	艺人：迷幻世界乐队	价格：¥110起	[上海]万代南梦宫上海文化中心 2F未来剧场
94	26	与死去爱人共舞 ——— The Molds“ Dancing With The Dead Lover ” 巡演 上海站	艺人：The Molds	价格：¥90起	[上海]上海 MAO Livehouse
95	26	Diels-Alder 复建行动 上海站	艺人：飞行游戏/Diels-Alder/Fliphouse	价格：¥80起	[上海]育音堂（凯旋店）
96	26	2021 万圣节“向经典致敬”专场演出 Day 1 	艺人：Round Eye/明天的盐/Deku/Loose Booty/Trash Panda	价格：¥120起	[上海]育音堂音乐公园
97	26	予约——时过夏末2021巡演上海站	艺人：时过夏末	价格：¥120起	[上海]万代南梦宫上海文化中心 2F未来剧场
98	26	2021傻子与白痴《Year of Fate》新专辑巡演-上海站（11月4日）	艺人：傻子与白痴	价格：¥200起	[上海]上海 MODERNSKY LAB
99	26	【京A别闹】肆囍 上海专场	艺人：肆囍乐队	价格：¥150起	[上海]万代南梦宫上海文化中心 2F未来剧场
100	26	2021傻子与白痴《Year of Fate》新专辑巡演-上海站（11月5日）	艺人：傻子与白痴	价格：¥200起	[上海]上海 MODERNSKY LAB
101	26	潮池蓝「深夜出走」2021巡演 上海站	艺人：潮池蓝	价格：¥80起	[上海]育音堂音乐公园
102	26	皇后皮箱「大梦初醒」2021巡回 上海站	艺人：皇后皮箱	价格：¥120起	[上海]上海 MAO Livehouse
103	26	倒车入库《出入平安》2021巡演 上海站	艺人：倒车入库	价格：¥90起	[上海]育音堂音乐公园
104	26	Sleeping Dogs 槟榔巡演 上海站	艺人：小老虎J-Fever/Sleeping Dogs	价格：¥150	[上海]万代南梦宫上海文化中心 2F未来剧场
